Index,Month,Number_Sold,Pending_Sales,Inventory
0,1,179.78650036683786,165.37710931768157,484.540719002201
1,2,183.76973207820419,189.73207820419987,504.87400434467776
2,3,241.2656739811912,235.5846394984326,531.5564263322884
3,4,252.5610142630745,243.2472266244057,557.4445324881141
4,5,260.9760061919505,254.3684210526316,564.5665634674923
5,6,277.3853923853924,249.7031857031857,584.998445998446
6,7,275.82875098193244,252.02906520031422,605.4705420267086
7,8,272.4539829853055,247.04098994586232,594.8832173240526
8,9,248.95308835027365,227.6028146989836,601.6473807662236
9,10,254.21317829457365,231.34418604651162,573.2837209302326
10,11,228.75374901341752,204.80584056827152,525.820047355959
11,12,237.80568720379148,165.37756714060032,439.9960505529226
